我,414,我,422
你,361,你,269
爱,52,我们,80
想,40,她,49
能,35,世界,41
她,31,他,38
不能,30,曾经,36
我们,29,能,32
永远,27,为,31
曾,26,曾,30
谁,26,生活,28
多,26,路过,27
等待,25,等待,27
再见,24,来,26
依然,24,要,25
转,23,那么,25
说,22,就让,24
青春,22,会,23
生命,21,离开,23
为,21,永远,22
身旁,20,所有,22
看,19,想,21
要,18,快乐,20
世界,18,好,20
知道,18,风,20
一生,18,快,20
一天,16,说,19
向往,15,可,19
遥远,15,爱,19
想起,14,撞,18
所有,14,死,18
如今,14,远方,17
思念,14,生命,17
向,13,一,17
会,13,等,17
春风,13,时光,17
温暖,13,笑,16
多想,13,谁,16
心,13,一天,16
可,12,天真,16
地方,12,明天,15
季节,12,Just,15
掠过,12,知道,15
如果,12,人生,15
心里,12,已经,15
已经,12,未来,14
命运,11,不能,14
一起,11,多,14
列车,11,坠入,14
妈妈,11,旧,14
美丽,11,回来,13
宁愿,11,永不,13
相信,11,年少,13
体会,11,放开,13
我愿,11,路,13
夜晚,11,哪,13
歌唱,10,依然,13
拥有,10,归来,12
深深,10,恶心,12
默默,10,看,12
忍耐,10,黑暗,12
生活,10,故事,12
看着,10,可知,12
离去,10,и,12
感觉,10,黑夜,12
今生,10,有时,12
是否,10,开放,12
终究,9,穿过,11
仿佛,9,真的,11
身边,9,热血,11
寂寞,9,这样,11
天边,9,慢慢,11
照亮,9,沉默,11
心中,9,自由,11
朋友,9,不用,10
灯火,9,老,10
来,9,成熟,10
告诉,9,拥有,10
阻挡,9,誓言,10
留不住,9,再见,10
等,9,妈妈,10
离开,9,划过,10
时光,9,瞬间,10
不会,9,就算,10
好,8,人间,10
或,8,不要,10
远方,8,熄灭,10
爱是,8,河,9
从此,8,两岸,9
一瞬间,8,向前走,9
寒冷,8,骄傲,9
风,8,永隔,9
没,8,江水,9
人群,8,手,9
天空,8,阳光,9
瞬间,8,如果,9
无法,8,只想,9
相思,8,短暂,9
希望,8,咿呀,9
回忆,8,请,9
遇见,8,青春,9
力量,8,夜晚,9
山岗,8,不想,9
一直,8,野草,9
一眼,8,人们,8
陌生,7,不知,8
不停,7,放在,8
从未,7,身边,8
看见,7,天边,8
最,7,沉入,8
带,7,刹那,8
匆匆,7,酒,8
爱人,7,平凡,8
春天,7,惊鸿,8
忘记,7,艰难,8
无,7,今日,8
真,7,别,8
眼前,7,我要,8
眼里,7,火焰,8
明月,7,今天,8
海,7,脸,8
爱恋,6,我活,8
倘卖,6,耀眼,8
爱情,6,动物,8
改变,6,亦,8
吹,6,不顾一切,8
水,6,大家,8
脸庞,6,硬,8
梦见,6,过去,8
梦乡,6,君,8
暗,6,悲伤,8
路,6,不耐烦,8
窗外,6,日夜,7
相遇,6,答案,7
我心,6,太,7
芬芳,6,命运,7
渐渐,6,一起,7
酒干,6,天涯,7
过去,6,阴霾,7
陪,6,风吹,7
总有,6,没,7
啦,6,天空,7
此刻,6,全都,7
世间,6,唱,7
深情,6,能够,7
姑娘,6,该,7
眼,6,哪有,7
昏黄,6,船,7
我用,6,待,7
微风,6,埋葬,7
情不一,6,一直,7
不知不觉,6,寻找,7
曾经,6,每,7
路上,6,直到,7
田野,6,白桦林,7
能够,6,输掉,6
失去,6,日子,6
终于,6,坦然,6
回到,6,奄奄一息,6
停止,6,兄弟,6
大地,6,眼泪,6
恋人,6,全部,6
听,6,来看,6
开放,6,山,6
始终,6,独自,6
孤单,6,不再,6
孤独,6,天,6
秋天,6,点,6
岁月,6,с,6
穿越,5,如鲠在喉,6
爱恨,5,最,6
快乐,5,再次,6
不知,5,绚烂,6
常常,5,刺客,6
人海,5,人山人海,6
走远,5,透彻,6
换,5,坠落,6
泪水,5,д,6
太,5,心扉,6
爱情故事,5,唯一,6
发现,5,流着泪,6
浪花,5,气球,6
奔,5,易冷,6
约,5,之仇,6
见,5,锋芒,6
守候,5,山谷,6
绚烂,5,а,6
告别,5,需要,6
平凡,5,从不,6
最美,5,海阔天空,6
唯一,5,向,6
涌动,5,风雨,6
难,5,枯荣,6
知不知道,5,消磨,6
长,5,何必,6
追寻,5,泥土,6
真心,5,灯火,6
留在,5,в,6
爱过,5,大海,6
他,5,跨过,6
温柔,5,敢不敢,6
我要,5,莫笑,6
容颜,5,昨天,6
手,5,疯狂,6
不曾,5,两手空空,6
当初,5,彻底,6
竟,5,я,6
出现,5,胸,6
脸,5,遥远,6
留住,5,言语,6
收获,5,义无反顾,6
只能,5,怎样,6
怎样,5,我迎,6
飞舞,5,植物,6
付出,5,哭,6
忧伤,5,尴尬,6
沉默,5,在手,6
年轻,5,о,6
请,5,尽头,6
不过,5,那才,6
不再,5,真正,6
如,5,自然,6
前世,5,莫道,6
光,5,Д,6
时间,5,心,6
冬季,4,我爱你,6
当有,4,诞生,6
夜夜,4,痛,6
未来,4,西风,6
清晨,4,我来,6
归来,4,时间,6
脑海,4,屁,6
望眼欲穿,4,无枪,6
牵手,4,拿走,6
走过,4,来次,6
遗忘,4,野花,6
天上,4,н,6
漂泊,4,风花,5
往日,4,这是,5
起伏,4,爱情,5
坚强,4,简单,5
错过,4,后悔,5
远,4,来不及,5
意义,4,交给,5
美妙,4,想象,5
睡,4,穿,5
天涯,4,远,5
无常,4,些,5
现在,4,痛苦,5
清澈,4,看见,5
化作,4,成长,5
誓言,4,带走,5
梦想,4,脚步,5
多年,4,一路,5
双眼,4,那片,5
变化无常,4,从此,5
金色,4,城市,5
清楚,4,月,5
并,4,徘徊,5
长久,4,掠过,5
条件,4,火车,5
不断,4,身旁,5
原谅,4,爱人,5
舍不得,4,每天,5
慢慢,4,问,5
今天,4,究竟,5
一阵风,4,梦,5
记得,4,狂,5
赛跑,4,新,5
阳光,4,灰飞烟灭,5
亲爱,4,夜,5
离家,4,幸福,5
起,4,干,5
何方,4,站台,5
迷途,4,无边,5
幸福,4,听,5
竟是,4,头破血流,5
黑夜,4,头,5
流淌,4,看着,5
那么,4,年代,5
怎能,4,猜,5
你老,4,花园,5
绝望,4,漫长,5
我会,4,飘散,5
短暂,4,回,5
春去秋来,4,看到,5
害怕,4,回头,5
歌,4,?,5
远处,4,怕,5
无恙,4,起,5
脆弱,4,家,4
欢乐,4,一点点,4
漫长,4,一次,4
何止,4,晚,4
千百年,4,想要,4
以后,4,溜走,4
轻柔,4,杯,4
我爱你,4,所,4
斜阳,4,爸爸,4
悄悄,4,礼物,4
不见,4,相,4
灵魂,4,勾心斗角,4
拿,4,关心,4
变幻无常,4,失掉,4
诉说,4,一下,4
有些,4,再有,4
~,4,如烟,4
悲伤,4,方向,4
就让,4,不停,4
烟,4,从未,4
千万里,4,感到,4
无数次,4,失望,4
相见,4,乱,4
感到,4,送给,4
爱慕,3,渐渐,4
随,3,之海,4
佳人,3,记得,4
不善,3,早已,4
鲜花,3,总是,4
成片,3,沸腾,4
回来,3,离愁,4
依赖,3,混账,4
随意,3,窗外,4
漫漫,3,毁,4
无奈,3,冷漠,4
青山,3,烧着,4
一次,3,痴迷,4
苍老,3,寒冷,4
人们,3,总会,4
点亮,3,待风,4
以为,3,听见,4
分开,3,啦,4
欢畅,3,转眼,4
月光,3,剪,4
辉煌,3,碎,4
愁肠,3,幽暗,4
日夜,3,惊心动魄,4
走进,3,不安,4
长成,3,期待,4
真的,3,游戏,4
许多,3,太快,4
匆忙,3,并,4
相爱,3,苦难,4
深沉,3,窗口,4
执着,3,衰老,4
贝加尔湖,3,活着,4
心跳,3,新衣,4
逆流而上,3,新发型,4
云海,3,美丽,4
酒入,3,之味,4
不变,3,冲出,4
lily,3,温暖,4
还会,3,陌生,4
麦浪,3,旅途,4
出,3,忘记,4
迷茫,3,冲动,4
宁静,3,渴望,4
最初,3,今夜,4
失望,3,我该,4
泪流,3,亲爱,4
带走,3,习惯,4
时辰,3,堕入,4
一路,3,总算,4
倔强,3,绝望,4
恍惚,3,大,4
冷淡,3,飞舞,4
飘向,3,证明,4
曲折,3,流连,4
总是,3,无表情,4
楼高休,3,滋味,4
随波逐流,3,挣扎,4
不尽,3,我会,4
女人,3,呼喊,4
冷漠,3,狂野,4
融化,3,希望,4
飞翔,3,无法自拔,4
终点,3,枕边,4
淡薄,3,得到,4
月,3,赶来,4
花,3,下跪,4
放弃,3,心儿,4
畔,3,老张,4
雾,3,如夏花,4
洱海,3,眼睛,4
长路,3,碗,4
征途,3,摔,4
流,3,失落,4
原野,3,孩子,4
不够,3,孤独,4
忽然,3,轻松,4
再也,3,忘,4
新,3,呲,4
耕耘,3,快去,4
可知,3,WINDOWS98,4
愿意,3,眼前,4
白,3,望,4
虔诚,3,遗憾,4
明白,3,违背,4
来到,3,飘扬,4
热情,3,手忙,4
人情,3,速度,4
随云,3,点点,4
宛如,3,找,4
望,3,不虚此行,4
分享,3,舞会,4
热心,3,这条,3
麻木,3,发生,3
月光如水,3,零落,3
铺满,3,罪,3
生日,3,而出,3
迷雾,3,不知去向,3
假意,3,鸽子,3
落日,3,以为,3
但愿,3,号,3
停下来,3,难过,3
送,3,快些,3
疯狂,3,清晨,3
梦,3,荒草,3
独向,3,重,3
春秋,3,海角,3
偶尔,3,没什么,3
一往情深,3,幸运,3
江水,3,没心没肺,3
天老去,3,兑现,3
明,3,死去,3
桂花香,3,人情冷暖,3
安放,3,湖泊,3
几个,3,断肠人,3
脸上,3,遗忘,3
飘过,3,度过,3
尝尽,3,生存,3
感情,3,到底,3
浮现,3,鸿毛,3
不愿,3,自以为是,3
一缕,3,纵身,3
停歇,3,风尘,3
皱纹,3,天之涯,3
夏日,3,漫无止境,3
独倚,3,寂寞,3
言语,3,作,3
迟迟,3,只道,3
欲望,3,那座,3
车,3,从来,3
任,3,手里,3
义无反顾,3,如刀,3
闭上,3,蓝天,3
路过,3,真理,3
风中,3,玩耍,3
前方,3,就要,3
哭泣,3,森林,3
泪,3,咖啡,3
有时候,3,领教,3
有没有,3,一跃,3
想念,3,天荒地老,3
来路,3,茫茫,3
电影,3,树叶,3
一刻,3,那刻,3
一片,3,幻想,3
蔚蓝,3,陪,3
替,3,招手,3
坚持,3,雪,3
离别,3,女人,3
打湿,3,告别,3
眼眶,3,梦想,3
话语,3,此去,3
一只,3,知交,3
夜色,3,飞翔,3
心愿,3,那火,3
人生,3,命若,3
歌谣,3,午后,3
